# PC-SAFT-Titan -- Daniel Cordier
# https://www.researchgate.net/profile/Daniel_Cordier
# http://orcid.org/0000-0003-4515-6271
#
# Computation date: 07/07/2021 -- 20h 49min 18s
# Temperature:   120.00 K
# Species 1: N2    
# Species 2: CH4   
#
# yN2 (vap)      P (bar)      
  4.8334647E-01  3.6957022E+00
  4.8483399E-01  3.7062970E+00
  4.8631224E-01  3.7168853E+00
  4.8778128E-01  3.7274672E+00
  4.8924121E-01  3.7380426E+00
  4.9069212E-01  3.7486115E+00
  4.9213408E-01  3.7591740E+00
  4.9356719E-01  3.7697300E+00
  4.9499152E-01  3.7802796E+00
  4.9640716E-01  3.7908228E+00
  4.9781417E-01  3.8013595E+00
  4.9921266E-01  3.8118898E+00
  5.0060268E-01  3.8224137E+00
  5.0198432E-01  3.8329312E+00
  5.0335766E-01  3.8434423E+00
  5.0472277E-01  3.8539470E+00
  5.0607972E-01  3.8644453E+00
  5.0742859E-01  3.8749372E+00
  5.0876944E-01  3.8854227E+00
  5.1010237E-01  3.8959019E+00
  5.1142742E-01  3.9063747E+00
  5.1274468E-01  3.9168412E+00
  5.1405421E-01  3.9273013E+00
  5.1535608E-01  3.9377550E+00
  5.1665035E-01  3.9482024E+00
  5.1793711E-01  3.9586435E+00
  5.1921640E-01  3.9690782E+00
  5.2048830E-01  3.9795066E+00
  5.2175287E-01  3.9899287E+00
  5.2301017E-01  4.0003445E+00
  5.2426028E-01  4.0107540E+00
  5.2550324E-01  4.0211572E+00
  5.2673912E-01  4.0315541E+00
  5.2796798E-01  4.0419447E+00
  5.2918989E-01  4.0523290E+00
  5.3040490E-01  4.0627071E+00
  5.3161307E-01  4.0730789E+00
  5.3281445E-01  4.0834444E+00
  5.3400912E-01  4.0938037E+00
  5.3519711E-01  4.1041567E+00
  5.3637850E-01  4.1145035E+00
  5.3755333E-01  4.1248440E+00
  5.3872166E-01  4.1351783E+00
  5.3988354E-01  4.1455064E+00
  5.4103903E-01  4.1558283E+00
  5.4218818E-01  4.1661439E+00
  5.4333105E-01  4.1764533E+00
  5.4446768E-01  4.1867566E+00
  5.4559812E-01  4.1970536E+00
  5.4672244E-01  4.2073445E+00
  5.4784067E-01  4.2176292E+00
  5.4895287E-01  4.2279077E+00
  5.5005909E-01  4.2381800E+00
  5.5115937E-01  4.2484462E+00
  5.5225376E-01  4.2587062E+00
  5.5334232E-01  4.2689600E+00
  5.5442508E-01  4.2792077E+00
  5.5550210E-01  4.2894493E+00
  5.5657342E-01  4.2996847E+00
  5.5763908E-01  4.3099140E+00
  5.5869914E-01  4.3201372E+00
  5.5975364E-01  4.3303542E+00
  5.6080261E-01  4.3405651E+00
  5.6184611E-01  4.3507700E+00
  5.6288417E-01  4.3609687E+00
  5.6391685E-01  4.3711614E+00
  5.6494418E-01  4.3813479E+00
  5.6596620E-01  4.3915284E+00
  5.6698296E-01  4.4017028E+00
  5.6799449E-01  4.4118711E+00
  5.6900085E-01  4.4220334E+00
  5.7000206E-01  4.4321896E+00
  5.7099817E-01  4.4423398E+00
  5.7198921E-01  4.4524839E+00
  5.7297523E-01  4.4626219E+00
  5.7395627E-01  4.4727540E+00
  5.7493236E-01  4.4828800E+00
  5.7590354E-01  4.4929999E+00
  5.7686984E-01  4.5031139E+00
  5.7783131E-01  4.5132219E+00
  5.7878799E-01  4.5233238E+00
  5.7973990E-01  4.5334198E+00
  5.8068708E-01  4.5435097E+00
  5.8162957E-01  4.5535937E+00
  5.8256741E-01  4.5636717E+00
  5.8350063E-01  4.5737437E+00
  5.8442926E-01  4.5838097E+00
  5.8535334E-01  4.5938698E+00
  5.8627290E-01  4.6039239E+00
  5.8718798E-01  4.6139721E+00
  5.8809860E-01  4.6240143E+00
  5.8900481E-01  4.6340506E+00
  5.8990663E-01  4.6440809E+00
  5.9080409E-01  4.6541053E+00
  5.9169723E-01  4.6641238E+00
  5.9258609E-01  4.6741364E+00
  5.9347068E-01  4.6841431E+00
  5.9435105E-01  4.6941438E+00
  5.9522722E-01  4.7041387E+00
  5.9609922E-01  4.7141277E+00
  5.9696708E-01  4.7241107E+00
  5.9783084E-01  4.7340879E+00
  5.9869051E-01  4.7440592E+00
  5.9954614E-01  4.7540247E+00
  6.0039775E-01  4.7639842E+00
  6.0124537E-01  4.7739380E+00
  6.0208903E-01  4.7838858E+00
  6.0292875E-01  4.7938278E+00
  6.0376457E-01  4.8037640E+00
  6.0459650E-01  4.8136944E+00
  6.0542459E-01  4.8236189E+00
  6.0624885E-01  4.8335375E+00
  6.0706931E-01  4.8434504E+00
  6.0788600E-01  4.8533574E+00
  6.0869895E-01  4.8632587E+00
  6.0950818E-01  4.8731541E+00
  6.1031371E-01  4.8830438E+00
  6.1111558E-01  4.8929276E+00
  6.1191381E-01  4.9028057E+00
  6.1270841E-01  4.9126780E+00
  6.1349943E-01  4.9225445E+00
  6.1428688E-01  4.9324052E+00
  6.1507079E-01  4.9422602E+00
  6.1585118E-01  4.9521094E+00
  6.1662808E-01  4.9619529E+00
  6.1740150E-01  4.9717906E+00
  6.1817148E-01  4.9816226E+00
  6.1893803E-01  4.9914489E+00
  6.1970118E-01  5.0012694E+00
  6.2046096E-01  5.0110842E+00
  6.2121738E-01  5.0208933E+00
  6.2197047E-01  5.0306966E+00
  6.2272025E-01  5.0404943E+00
  6.2346674E-01  5.0502863E+00
  6.2420997E-01  5.0600725E+00
  6.2494995E-01  5.0698531E+00
  6.2568671E-01  5.0796280E+00
  6.2642027E-01  5.0893973E+00
  6.2715065E-01  5.0991608E+00
  6.2787787E-01  5.1089187E+00
  6.2860195E-01  5.1186709E+00
  6.2932291E-01  5.1284175E+00
  6.3004078E-01  5.1381584E+00
  6.3075557E-01  5.1478937E+00
  6.3146731E-01  5.1576233E+00
  6.3217600E-01  5.1673473E+00
  6.3288169E-01  5.1770657E+00
  6.3358437E-01  5.1867785E+00
  6.3428407E-01  5.1964856E+00
  6.3498082E-01  5.2061871E+00
  6.3567463E-01  5.2158831E+00
  6.3636552E-01  5.2255734E+00
  6.3705350E-01  5.2352581E+00
  6.3773860E-01  5.2449373E+00
  6.3842084E-01  5.2546108E+00
  6.3910023E-01  5.2642788E+00
  6.3977679E-01  5.2739412E+00
  6.4045054E-01  5.2835981E+00
  6.4112150E-01  5.2932494E+00
  6.4178968E-01  5.3028951E+00
  6.4245511E-01  5.3125353E+00
  6.4311780E-01  5.3221699E+00
  6.4377776E-01  5.3317990E+00
  6.4443502E-01  5.3414226E+00
  6.4508959E-01  5.3510406E+00
  6.4574148E-01  5.3606531E+00
  6.4639073E-01  5.3702601E+00
  6.4703733E-01  5.3798616E+00
  6.4768131E-01  5.3894576E+00
  6.4832268E-01  5.3990481E+00
  6.4896147E-01  5.4086331E+00
  6.4959768E-01  5.4182126E+00
  6.5023133E-01  5.4277866E+00
  6.5086244E-01  5.4373552E+00
  6.5149102E-01  5.4469182E+00
  6.5211709E-01  5.4564759E+00
  6.5274067E-01  5.4660280E+00
  6.5336176E-01  5.4755747E+00
  6.5398039E-01  5.4851159E+00
  6.5459657E-01  5.4946517E+00
  6.5521031E-01  5.5041821E+00
  6.5582163E-01  5.5137070E+00
  6.5643055E-01  5.5232265E+00
  6.5703707E-01  5.5327405E+00
  6.5764121E-01  5.5422492E+00
  6.5824300E-01  5.5517524E+00
  6.5884243E-01  5.5612502E+00
  6.5943953E-01  5.5707427E+00
  6.6003430E-01  5.5802297E+00
  6.6062677E-01  5.5897113E+00
  6.6121695E-01  5.5991876E+00
  6.6180484E-01  5.6086585E+00
  6.6239047E-01  5.6181240E+00
  6.6297385E-01  5.6275841E+00
  6.6355498E-01  5.6370389E+00
  6.6413389E-01  5.6464883E+00
  6.6471059E-01  5.6559323E+00
  6.6528508E-01  5.6653710E+00
  6.6585739E-01  5.6748044E+00
  6.6642752E-01  5.6842324E+00
  6.6699549E-01  5.6936551E+00
  6.6756131E-01  5.7030725E+00
  6.6812499E-01  5.7124846E+00
  6.6868655E-01  5.7218913E+00
  6.6924600E-01  5.7312927E+00
  6.6980334E-01  5.7406889E+00
  6.7035860E-01  5.7500797E+00
  6.7091178E-01  5.7594652E+00
  6.7146290E-01  5.7688454E+00
  6.7201197E-01  5.7782204E+00
  6.7255899E-01  5.7875901E+00
  6.7310398E-01  5.7969545E+00
  6.7364696E-01  5.8063136E+00
  6.7418793E-01  5.8156675E+00
  6.7472691E-01  5.8250161E+00
  6.7526390E-01  5.8343595E+00
  6.7579892E-01  5.8436976E+00
  6.7633199E-01  5.8530305E+00
  6.7686310E-01  5.8623581E+00
  6.7739227E-01  5.8716806E+00
  6.7791951E-01  5.8809977E+00
  6.7844484E-01  5.8903097E+00
  6.7896826E-01  5.8996165E+00
  6.7948978E-01  5.9089180E+00
  6.8000942E-01  5.9182144E+00
  6.8052719E-01  5.9275055E+00
  6.8104309E-01  5.9367915E+00
  6.8155713E-01  5.9460722E+00
  6.8206933E-01  5.9553478E+00
  6.8257970E-01  5.9646182E+00
  6.8308825E-01  5.9738834E+00
  6.8359498E-01  5.9831435E+00
  6.8409991E-01  5.9923984E+00
  6.8460304E-01  6.0016482E+00
  6.8510439E-01  6.0108928E+00
  6.8560397E-01  6.0201322E+00
  6.8610178E-01  6.0293665E+00
  6.8659784E-01  6.0385957E+00
  6.8709215E-01  6.0478197E+00
  6.8758473E-01  6.0570387E+00
  6.8807558E-01  6.0662524E+00
  6.8856472E-01  6.0754611E+00
  6.8905214E-01  6.0846647E+00
  6.8953787E-01  6.0938632E+00
  6.9002191E-01  6.1030565E+00
  6.9050427E-01  6.1122448E+00
  6.9098495E-01  6.1214280E+00
  6.9146398E-01  6.1306061E+00
  6.9194135E-01  6.1397791E+00
  6.9241708E-01  6.1489471E+00
  6.9289117E-01  6.1581100E+00
  6.9336363E-01  6.1672678E+00
  6.9383447E-01  6.1764206E+00
  6.9430371E-01  6.1855683E+00
  6.9477134E-01  6.1947110E+00
  6.9523738E-01  6.2038486E+00
  6.9570184E-01  6.2129812E+00
  6.9616472E-01  6.2221087E+00
  6.9662603E-01  6.2312313E+00
