# PC-SAFT-Titan -- Daniel Cordier
# https://www.researchgate.net/profile/Daniel_Cordier
# http://orcid.org/0000-0003-4515-6271
#
# Computation date: 07/07/2021 -- 20h 09min 43s
# Temperature:   110.00 K
# Species 1: N2    
# Species 2: CH4   
#
# xN2 (liq)      P (bar)      
  1.0000000E-04  8.8292028E-01
  4.3307769E-04  8.9081927E-01
  7.6615539E-04  8.9871217E-01
  1.0992331E-03  9.0659896E-01
  1.4323108E-03  9.1447967E-01
  1.7653885E-03  9.2235430E-01
  2.0984662E-03  9.3022284E-01
  2.4315438E-03  9.3808532E-01
  2.7646215E-03  9.4594172E-01
  3.0976992E-03  9.5379207E-01
  3.4307769E-03  9.6163636E-01
  3.7638546E-03  9.6947460E-01
  4.0969323E-03  9.7730679E-01
  4.4300100E-03  9.8513295E-01
  4.7630877E-03  9.9295308E-01
  5.0961654E-03  1.0007672E+00
  5.4292431E-03  1.0085753E+00
  5.7623208E-03  1.0163773E+00
  6.0953985E-03  1.0241734E+00
  6.4284762E-03  1.0319634E+00
  6.7615539E-03  1.0397475E+00
  7.0946315E-03  1.0475256E+00
  7.4277092E-03  1.0552976E+00
  7.7607869E-03  1.0630637E+00
  8.0938646E-03  1.0708239E+00
  8.4269423E-03  1.0785780E+00
  8.7600200E-03  1.0863262E+00
  9.0930977E-03  1.0940685E+00
  9.4261754E-03  1.1018048E+00
  9.7592531E-03  1.1095352E+00
  1.0092331E-02  1.1172596E+00
  1.0425408E-02  1.1249781E+00
  1.0758486E-02  1.1326906E+00
  1.1091564E-02  1.1403973E+00
  1.1424642E-02  1.1480980E+00
  1.1757719E-02  1.1557928E+00
  1.2090797E-02  1.1634818E+00
  1.2423875E-02  1.1711648E+00
  1.2756952E-02  1.1788419E+00
  1.3090030E-02  1.1865132E+00
  1.3423108E-02  1.1941786E+00
  1.3756185E-02  1.2018381E+00
  1.4089263E-02  1.2094917E+00
  1.4422341E-02  1.2171395E+00
  1.4755418E-02  1.2247815E+00
  1.5088496E-02  1.2324176E+00
  1.5421574E-02  1.2400478E+00
  1.5754652E-02  1.2476722E+00
  1.6087729E-02  1.2552908E+00
  1.6420807E-02  1.2629036E+00
  1.6753885E-02  1.2705106E+00
  1.7086962E-02  1.2781117E+00
  1.7420040E-02  1.2857070E+00
  1.7753118E-02  1.2932966E+00
  1.8086195E-02  1.3008803E+00
  1.8419273E-02  1.3084583E+00
  1.8752351E-02  1.3160305E+00
  1.9085428E-02  1.3235969E+00
  1.9418506E-02  1.3311576E+00
  1.9751584E-02  1.3387124E+00
  2.0084662E-02  1.3462616E+00
  2.0417739E-02  1.3538049E+00
  2.0750817E-02  1.3613426E+00
  2.1083895E-02  1.3688745E+00
  2.1416972E-02  1.3764006E+00
  2.1750050E-02  1.3839211E+00
  2.2083128E-02  1.3914358E+00
  2.2416205E-02  1.3989448E+00
  2.2749283E-02  1.4064481E+00
  2.3082361E-02  1.4139457E+00
  2.3415438E-02  1.4214376E+00
  2.3748516E-02  1.4289238E+00
  2.4081594E-02  1.4364044E+00
  2.4414672E-02  1.4438792E+00
  2.4747749E-02  1.4513484E+00
  2.5080827E-02  1.4588119E+00
  2.5413905E-02  1.4662698E+00
  2.5746982E-02  1.4737220E+00
  2.6080060E-02  1.4811686E+00
