# PC-SAFT-Titan -- Daniel Cordier
# https://www.researchgate.net/profile/Daniel_Cordier
# http://orcid.org/0000-0003-4515-6271
#
# Computation date: 07/07/2021 -- 20h 49min 18s
# Temperature:   120.00 K
# Species 1: N2    
# Species 2: CH4   
#
# xN2 (liq)      P (bar)      
  5.3392431E-02  3.6957022E+00
  5.3725509E-02  3.7062970E+00
  5.4058586E-02  3.7168853E+00
  5.4391664E-02  3.7274672E+00
  5.4724742E-02  3.7380426E+00
  5.5057819E-02  3.7486115E+00
  5.5390897E-02  3.7591740E+00
  5.5723975E-02  3.7697300E+00
  5.6057052E-02  3.7802796E+00
  5.6390130E-02  3.7908228E+00
  5.6723208E-02  3.8013595E+00
  5.7056285E-02  3.8118898E+00
  5.7389363E-02  3.8224137E+00
  5.7722441E-02  3.8329312E+00
  5.8055519E-02  3.8434423E+00
  5.8388596E-02  3.8539470E+00
  5.8721674E-02  3.8644453E+00
  5.9054752E-02  3.8749372E+00
  5.9387829E-02  3.8854227E+00
  5.9720907E-02  3.8959019E+00
  6.0053985E-02  3.9063747E+00
  6.0387062E-02  3.9168412E+00
  6.0720140E-02  3.9273013E+00
  6.1053218E-02  3.9377550E+00
  6.1386295E-02  3.9482024E+00
  6.1719373E-02  3.9586435E+00
  6.2052451E-02  3.9690782E+00
  6.2385529E-02  3.9795066E+00
  6.2718606E-02  3.9899287E+00
  6.3051684E-02  4.0003445E+00
  6.3384762E-02  4.0107540E+00
  6.3717839E-02  4.0211572E+00
  6.4050917E-02  4.0315541E+00
  6.4383995E-02  4.0419447E+00
  6.4717072E-02  4.0523290E+00
  6.5050150E-02  4.0627071E+00
  6.5383228E-02  4.0730789E+00
  6.5716305E-02  4.0834444E+00
  6.6049383E-02  4.0938037E+00
  6.6382461E-02  4.1041567E+00
  6.6715539E-02  4.1145035E+00
  6.7048616E-02  4.1248440E+00
  6.7381694E-02  4.1351783E+00
  6.7714772E-02  4.1455064E+00
  6.8047849E-02  4.1558283E+00
  6.8380927E-02  4.1661439E+00
  6.8714005E-02  4.1764533E+00
  6.9047082E-02  4.1867566E+00
  6.9380160E-02  4.1970536E+00
  6.9713238E-02  4.2073445E+00
  7.0046315E-02  4.2176292E+00
  7.0379393E-02  4.2279077E+00
  7.0712471E-02  4.2381800E+00
  7.1045549E-02  4.2484462E+00
  7.1378626E-02  4.2587062E+00
  7.1711704E-02  4.2689600E+00
  7.2044782E-02  4.2792077E+00
  7.2377859E-02  4.2894493E+00
  7.2710937E-02  4.2996847E+00
  7.3044015E-02  4.3099140E+00
  7.3377092E-02  4.3201372E+00
  7.3710170E-02  4.3303542E+00
  7.4043248E-02  4.3405651E+00
  7.4376325E-02  4.3507700E+00
  7.4709403E-02  4.3609687E+00
  7.5042481E-02  4.3711614E+00
  7.5375559E-02  4.3813479E+00
  7.5708636E-02  4.3915284E+00
  7.6041714E-02  4.4017028E+00
  7.6374792E-02  4.4118711E+00
  7.6707869E-02  4.4220334E+00
  7.7040947E-02  4.4321896E+00
  7.7374025E-02  4.4423398E+00
  7.7707102E-02  4.4524839E+00
  7.8040180E-02  4.4626219E+00
  7.8373258E-02  4.4727540E+00
  7.8706335E-02  4.4828800E+00
  7.9039413E-02  4.4929999E+00
  7.9372491E-02  4.5031139E+00
  7.9705569E-02  4.5132219E+00
  8.0038646E-02  4.5233238E+00
  8.0371724E-02  4.5334198E+00
  8.0704802E-02  4.5435097E+00
  8.1037879E-02  4.5535937E+00
  8.1370957E-02  4.5636717E+00
  8.1704035E-02  4.5737437E+00
  8.2037112E-02  4.5838097E+00
  8.2370190E-02  4.5938698E+00
  8.2703268E-02  4.6039239E+00
  8.3036345E-02  4.6139721E+00
  8.3369423E-02  4.6240143E+00
  8.3702501E-02  4.6340506E+00
  8.4035579E-02  4.6440809E+00
  8.4368656E-02  4.6541053E+00
  8.4701734E-02  4.6641238E+00
  8.5034812E-02  4.6741364E+00
  8.5367889E-02  4.6841431E+00
  8.5700967E-02  4.6941438E+00
  8.6034045E-02  4.7041387E+00
  8.6367122E-02  4.7141277E+00
  8.6700200E-02  4.7241107E+00
  8.7033278E-02  4.7340879E+00
  8.7366355E-02  4.7440592E+00
  8.7699433E-02  4.7540247E+00
  8.8032511E-02  4.7639842E+00
  8.8365589E-02  4.7739380E+00
  8.8698666E-02  4.7838858E+00
  8.9031744E-02  4.7938278E+00
  8.9364822E-02  4.8037640E+00
  8.9697899E-02  4.8136944E+00
  9.0030977E-02  4.8236189E+00
  9.0364055E-02  4.8335375E+00
  9.0697132E-02  4.8434504E+00
  9.1030210E-02  4.8533574E+00
  9.1363288E-02  4.8632587E+00
  9.1696365E-02  4.8731541E+00
  9.2029443E-02  4.8830438E+00
  9.2362521E-02  4.8929276E+00
  9.2695599E-02  4.9028057E+00
  9.3028676E-02  4.9126780E+00
  9.3361754E-02  4.9225445E+00
  9.3694832E-02  4.9324052E+00
  9.4027909E-02  4.9422602E+00
  9.4360987E-02  4.9521094E+00
  9.4694065E-02  4.9619529E+00
  9.5027142E-02  4.9717906E+00
  9.5360220E-02  4.9816226E+00
  9.5693298E-02  4.9914489E+00
  9.6026375E-02  5.0012694E+00
  9.6359453E-02  5.0110842E+00
  9.6692531E-02  5.0208933E+00
  9.7025609E-02  5.0306966E+00
  9.7358686E-02  5.0404943E+00
  9.7691764E-02  5.0502863E+00
  9.8024842E-02  5.0600725E+00
  9.8357919E-02  5.0698531E+00
  9.8690997E-02  5.0796280E+00
  9.9024075E-02  5.0893973E+00
  9.9357152E-02  5.0991608E+00
  9.9690230E-02  5.1089187E+00
  1.0002331E-01  5.1186709E+00
  1.0035639E-01  5.1284175E+00
  1.0068946E-01  5.1381584E+00
  1.0102254E-01  5.1478937E+00
  1.0135562E-01  5.1576233E+00
  1.0168870E-01  5.1673473E+00
  1.0202177E-01  5.1770657E+00
  1.0235485E-01  5.1867785E+00
  1.0268793E-01  5.1964856E+00
  1.0302101E-01  5.2061871E+00
  1.0335408E-01  5.2158831E+00
  1.0368716E-01  5.2255734E+00
  1.0402024E-01  5.2352581E+00
  1.0435332E-01  5.2449373E+00
  1.0468640E-01  5.2546108E+00
  1.0501947E-01  5.2642788E+00
  1.0535255E-01  5.2739412E+00
  1.0568563E-01  5.2835981E+00
  1.0601871E-01  5.2932494E+00
  1.0635178E-01  5.3028951E+00
  1.0668486E-01  5.3125353E+00
  1.0701794E-01  5.3221699E+00
  1.0735102E-01  5.3317990E+00
  1.0768409E-01  5.3414226E+00
  1.0801717E-01  5.3510406E+00
  1.0835025E-01  5.3606531E+00
  1.0868333E-01  5.3702601E+00
  1.0901641E-01  5.3798616E+00
  1.0934948E-01  5.3894576E+00
  1.0968256E-01  5.3990481E+00
  1.1001564E-01  5.4086331E+00
  1.1034872E-01  5.4182126E+00
  1.1068179E-01  5.4277866E+00
  1.1101487E-01  5.4373552E+00
  1.1134795E-01  5.4469182E+00
  1.1168103E-01  5.4564759E+00
  1.1201410E-01  5.4660280E+00
  1.1234718E-01  5.4755747E+00
  1.1268026E-01  5.4851159E+00
  1.1301334E-01  5.4946517E+00
  1.1334642E-01  5.5041821E+00
  1.1367949E-01  5.5137070E+00
  1.1401257E-01  5.5232265E+00
  1.1434565E-01  5.5327405E+00
  1.1467873E-01  5.5422492E+00
  1.1501180E-01  5.5517524E+00
  1.1534488E-01  5.5612502E+00
  1.1567796E-01  5.5707427E+00
  1.1601104E-01  5.5802297E+00
  1.1634411E-01  5.5897113E+00
  1.1667719E-01  5.5991876E+00
  1.1701027E-01  5.6086585E+00
  1.1734335E-01  5.6181240E+00
  1.1767643E-01  5.6275841E+00
  1.1800950E-01  5.6370389E+00
  1.1834258E-01  5.6464883E+00
  1.1867566E-01  5.6559323E+00
  1.1900874E-01  5.6653710E+00
  1.1934181E-01  5.6748044E+00
  1.1967489E-01  5.6842324E+00
  1.2000797E-01  5.6936551E+00
  1.2034105E-01  5.7030725E+00
  1.2067412E-01  5.7124846E+00
  1.2100720E-01  5.7218913E+00
  1.2134028E-01  5.7312927E+00
  1.2167336E-01  5.7406889E+00
  1.2200644E-01  5.7500797E+00
  1.2233951E-01  5.7594652E+00
  1.2267259E-01  5.7688454E+00
  1.2300567E-01  5.7782204E+00
  1.2333875E-01  5.7875901E+00
  1.2367182E-01  5.7969545E+00
  1.2400490E-01  5.8063136E+00
  1.2433798E-01  5.8156675E+00
  1.2467106E-01  5.8250161E+00
  1.2500413E-01  5.8343595E+00
  1.2533721E-01  5.8436976E+00
  1.2567029E-01  5.8530305E+00
  1.2600337E-01  5.8623581E+00
  1.2633645E-01  5.8716806E+00
  1.2666952E-01  5.8809977E+00
  1.2700260E-01  5.8903097E+00
  1.2733568E-01  5.8996165E+00
  1.2766876E-01  5.9089180E+00
  1.2800183E-01  5.9182144E+00
  1.2833491E-01  5.9275055E+00
  1.2866799E-01  5.9367915E+00
  1.2900107E-01  5.9460722E+00
  1.2933414E-01  5.9553478E+00
  1.2966722E-01  5.9646182E+00
  1.3000030E-01  5.9738834E+00
  1.3033338E-01  5.9831435E+00
  1.3066646E-01  5.9923984E+00
  1.3099953E-01  6.0016482E+00
  1.3133261E-01  6.0108928E+00
  1.3166569E-01  6.0201322E+00
  1.3199877E-01  6.0293665E+00
  1.3233184E-01  6.0385957E+00
  1.3266492E-01  6.0478197E+00
  1.3299800E-01  6.0570387E+00
  1.3333108E-01  6.0662524E+00
  1.3366415E-01  6.0754611E+00
  1.3399723E-01  6.0846647E+00
  1.3433031E-01  6.0938632E+00
  1.3466339E-01  6.1030565E+00
  1.3499647E-01  6.1122448E+00
  1.3532954E-01  6.1214280E+00
  1.3566262E-01  6.1306061E+00
  1.3599570E-01  6.1397791E+00
  1.3632878E-01  6.1489471E+00
  1.3666185E-01  6.1581100E+00
  1.3699493E-01  6.1672678E+00
  1.3732801E-01  6.1764206E+00
  1.3766109E-01  6.1855683E+00
  1.3799416E-01  6.1947110E+00
  1.3832724E-01  6.2038486E+00
  1.3866032E-01  6.2129812E+00
  1.3899340E-01  6.2221087E+00
  1.3932648E-01  6.2312313E+00
  1.3965955E-01  6.2403488E+00
  1.3999263E-01  6.2494612E+00
  1.4032571E-01  6.2585687E+00
  1.4065879E-01  6.2676712E+00
  1.4099186E-01  6.2767687E+00
  1.4132494E-01  6.2858612E+00
  1.4165802E-01  6.2949486E+00
  1.4199110E-01  6.3040311E+00
  1.4232417E-01  6.3131087E+00
  1.4265725E-01  6.3221812E+00
  1.4299033E-01  6.3312488E+00
  1.4332341E-01  6.3403114E+00
  1.4365649E-01  6.3493690E+00
  1.4398956E-01  6.3584217E+00
  1.4432264E-01  6.3674695E+00
  1.4465572E-01  6.3765123E+00
  1.4498880E-01  6.3855501E+00
  1.4532187E-01  6.3945831E+00
  1.4565495E-01  6.4036111E+00
  1.4598803E-01  6.4126341E+00
  1.4632111E-01  6.4216523E+00
  1.4665418E-01  6.4306655E+00
  1.4698726E-01  6.4396739E+00
  1.4732034E-01  6.4486773E+00
  1.4765342E-01  6.4576758E+00
  1.4798650E-01  6.4666694E+00
  1.4831957E-01  6.4756582E+00
  1.4865265E-01  6.4846420E+00
  1.4898573E-01  6.4936210E+00
  1.4931881E-01  6.5025951E+00
  1.4965188E-01  6.5115644E+00
  1.4998496E-01  6.5205287E+00
  1.5031804E-01  6.5294883E+00
  1.5065112E-01  6.5384429E+00
  1.5098419E-01  6.5473927E+00
  1.5131727E-01  6.5563377E+00
  1.5165035E-01  6.5652778E+00
  1.5198343E-01  6.5742131E+00
  1.5231651E-01  6.5831436E+00
  1.5264958E-01  6.5920692E+00
  1.5298266E-01  6.6009901E+00
  1.5331574E-01  6.6099061E+00
  1.5364882E-01  6.6188173E+00
  1.5398189E-01  6.6277237E+00
  1.5431497E-01  6.6366253E+00
  1.5464805E-01  6.6455221E+00
  1.5498113E-01  6.6544141E+00
  1.5531420E-01  6.6633013E+00
  1.5564728E-01  6.6721838E+00
  1.5598036E-01  6.6810615E+00
  1.5631344E-01  6.6899344E+00
  1.5664652E-01  6.6988025E+00
  1.5697959E-01  6.7076659E+00
  1.5731267E-01  6.7165246E+00
  1.5764575E-01  6.7253785E+00
  1.5797883E-01  6.7342276E+00
  1.5831190E-01  6.7430720E+00
  1.5864498E-01  6.7519117E+00
  1.5897806E-01  6.7607466E+00
  1.5931114E-01  6.7695768E+00
  1.5964421E-01  6.7784023E+00
  1.5997729E-01  6.7872231E+00
  1.6031037E-01  6.7960392E+00
  1.6064345E-01  6.8048506E+00
  1.6097653E-01  6.8136572E+00
  1.6130960E-01  6.8224592E+00
  1.6164268E-01  6.8312565E+00
  1.6197576E-01  6.8400491E+00
  1.6230884E-01  6.8488370E+00
  1.6264191E-01  6.8576203E+00
  1.6297499E-01  6.8663989E+00
  1.6330807E-01  6.8751728E+00
  1.6364115E-01  6.8839420E+00
  1.6397422E-01  6.8927066E+00
  1.6430730E-01  6.9014666E+00
  1.6464038E-01  6.9102219E+00
  1.6497346E-01  6.9189725E+00
  1.6530654E-01  6.9277185E+00
  1.6563961E-01  6.9364599E+00
  1.6597269E-01  6.9451967E+00
  1.6630577E-01  6.9539288E+00
  1.6663885E-01  6.9626564E+00
  1.6697192E-01  6.9713793E+00
  1.6730500E-01  6.9800976E+00
  1.6763808E-01  6.9888113E+00
  1.6797116E-01  6.9975204E+00
  1.6830423E-01  7.0062249E+00
  1.6863731E-01  7.0149249E+00
  1.6897039E-01  7.0236202E+00
  1.6930347E-01  7.0323110E+00
  1.6963655E-01  7.0409972E+00
  1.6996962E-01  7.0496788E+00
  1.7030270E-01  7.0583559E+00
  1.7063578E-01  7.0670284E+00
  1.7096886E-01  7.0756963E+00
  1.7130193E-01  7.0843598E+00
  1.7163501E-01  7.0930186E+00
  1.7196809E-01  7.1016729E+00
  1.7230117E-01  7.1103227E+00
  1.7263424E-01  7.1189680E+00
  1.7296732E-01  7.1276087E+00
  1.7330040E-01  7.1362449E+00
  1.7363348E-01  7.1448766E+00
  1.7396656E-01  7.1535038E+00
  1.7429963E-01  7.1621265E+00
  1.7463271E-01  7.1707447E+00
  1.7496579E-01  7.1793584E+00
