# PC-SAFT-Titan -- Daniel Cordier
# https://www.researchgate.net/profile/Daniel_Cordier
# http://orcid.org/0000-0003-4515-6271
#
# Computation date: 07/07/2021 -- 20h 48min 42s
# Temperature:   115.00 K
# Species 1: N2    
# Species 2: CH4   
#
# yN2 (vap)      P (bar)      
  2.2067497E-03  1.3223434E+00
  9.4844465E-03  1.3320632E+00
  1.6652565E-02  1.3417763E+00
  2.3713562E-02  1.3514825E+00
  3.0669822E-02  1.3611818E+00
  3.7523658E-02  1.3708744E+00
  4.4277318E-02  1.3805601E+00
  5.0932981E-02  1.3902390E+00
  5.7492768E-02  1.3999112E+00
  6.3958735E-02  1.4095765E+00
  7.0332882E-02  1.4192350E+00
  7.6617152E-02  1.4288868E+00
  8.2813434E-02  1.4385318E+00
  8.8923564E-02  1.4481700E+00
  9.4949327E-02  1.4578014E+00
  1.0089246E-01  1.4674261E+00
  1.0675465E-01  1.4770440E+00
  1.1253755E-01  1.4866552E+00
  1.1824275E-01  1.4962597E+00
  1.2387180E-01  1.5058574E+00
  1.2942623E-01  1.5154483E+00
  1.3490751E-01  1.5250326E+00
  1.4031708E-01  1.5346101E+00
  1.4565633E-01  1.5441810E+00
  1.5092664E-01  1.5537451E+00
  1.5612932E-01  1.5633025E+00
  1.6126567E-01  1.5728532E+00
  1.6633696E-01  1.5823973E+00
  1.7134441E-01  1.5919347E+00
  1.7628923E-01  1.6014654E+00
  1.8117258E-01  1.6109894E+00
  1.8599560E-01  1.6205068E+00
  1.9075941E-01  1.6300175E+00
  1.9546508E-01  1.6395216E+00
  2.0011369E-01  1.6490190E+00
  2.0470626E-01  1.6585098E+00
  2.0924380E-01  1.6679940E+00
  2.1372730E-01  1.6774715E+00
  2.1815772E-01  1.6869424E+00
  2.2253599E-01  1.6964068E+00
  2.2686303E-01  1.7058645E+00
  2.3113974E-01  1.7153156E+00
  2.3536699E-01  1.7247601E+00
  2.3954564E-01  1.7341981E+00
  2.4367652E-01  1.7436294E+00
  2.4776045E-01  1.7530542E+00
  2.5179822E-01  1.7624725E+00
  2.5579062E-01  1.7718841E+00
  2.5973840E-01  1.7812893E+00
  2.6364231E-01  1.7906878E+00
  2.6750308E-01  1.8000799E+00
  2.7132142E-01  1.8094654E+00
  2.7509803E-01  1.8188443E+00
  2.7883360E-01  1.8282168E+00
  2.8252878E-01  1.8375827E+00
  2.8618422E-01  1.8469421E+00
  2.8980058E-01  1.8562951E+00
  2.9337847E-01  1.8656415E+00
  2.9691851E-01  1.8749814E+00
  3.0042129E-01  1.8843149E+00
  3.0388740E-01  1.8936419E+00
  3.0731742E-01  1.9029624E+00
  3.1071190E-01  1.9122764E+00
  3.1407140E-01  1.9215840E+00
  3.1739646E-01  1.9308852E+00
  3.2068760E-01  1.9401799E+00
  3.2394535E-01  1.9494681E+00
  3.2717020E-01  1.9587499E+00
  3.3036266E-01  1.9680253E+00
  3.3352321E-01  1.9772943E+00
  3.3665234E-01  1.9865569E+00
  3.3975050E-01  1.9958130E+00
  3.4281815E-01  2.0050628E+00
  3.4585576E-01  2.0143062E+00
  3.4886375E-01  2.0235431E+00
  3.5184255E-01  2.0327737E+00
  3.5479260E-01  2.0419979E+00
  3.5771431E-01  2.0512158E+00
  3.6060809E-01  2.0604273E+00
  3.6347433E-01  2.0696324E+00
  3.6631342E-01  2.0788312E+00
  3.6912576E-01  2.0880236E+00
  3.7191172E-01  2.0972097E+00
  3.7467167E-01  2.1063895E+00
  3.7740598E-01  2.1155629E+00
  3.8011499E-01  2.1247301E+00
  3.8279907E-01  2.1338909E+00
  3.8545855E-01  2.1430454E+00
  3.8809378E-01  2.1521936E+00
  3.9070508E-01  2.1613355E+00
  3.9329278E-01  2.1704711E+00
  3.9585720E-01  2.1796004E+00
  3.9839865E-01  2.1887235E+00
  4.0091744E-01  2.1978403E+00
  4.0341388E-01  2.2069508E+00
  4.0588826E-01  2.2160551E+00
  4.0834087E-01  2.2251532E+00
  4.1077200E-01  2.2342449E+00
  4.1318194E-01  2.2433305E+00
  4.1557095E-01  2.2524098E+00
  4.1793932E-01  2.2614829E+00
  4.2028730E-01  2.2705498E+00
  4.2261517E-01  2.2796104E+00
  4.2492318E-01  2.2886649E+00
  4.2721158E-01  2.2977132E+00
  4.2948063E-01  2.3067552E+00
  4.3173057E-01  2.3157911E+00
  4.3396163E-01  2.3248208E+00
  4.3617407E-01  2.3338443E+00
  4.3836811E-01  2.3428616E+00
  4.4054398E-01  2.3518728E+00
  4.4270190E-01  2.3608779E+00
  4.4484211E-01  2.3698767E+00
  4.4696481E-01  2.3788695E+00
  4.4907022E-01  2.3878561E+00
  4.5115856E-01  2.3968365E+00
  4.5323003E-01  2.4058109E+00
  4.5528483E-01  2.4147791E+00
  4.5732317E-01  2.4237412E+00
  4.5934525E-01  2.4326972E+00
  4.6135125E-01  2.4416471E+00
  4.6334138E-01  2.4505909E+00
  4.6531581E-01  2.4595286E+00
  4.6727474E-01  2.4684602E+00
  4.6921835E-01  2.4773858E+00
  4.7114682E-01  2.4863052E+00
  4.7306032E-01  2.4952187E+00
  4.7495903E-01  2.5041260E+00
  4.7684312E-01  2.5130273E+00
  4.7871277E-01  2.5219226E+00
  4.8056813E-01  2.5308118E+00
  4.8240937E-01  2.5396950E+00
  4.8423665E-01  2.5485721E+00
  4.8605013E-01  2.5574433E+00
  4.8784997E-01  2.5663084E+00
  4.8963632E-01  2.5751675E+00
  4.9140934E-01  2.5840206E+00
  4.9316916E-01  2.5928677E+00
  4.9491595E-01  2.6017088E+00
  4.9664985E-01  2.6105439E+00
  4.9837099E-01  2.6193731E+00
  5.0007952E-01  2.6281963E+00
  5.0177558E-01  2.6370135E+00
  5.0345930E-01  2.6458247E+00
  5.0513083E-01  2.6546300E+00
  5.0679029E-01  2.6634294E+00
  5.0843781E-01  2.6722228E+00
  5.1007352E-01  2.6810102E+00
  5.1169756E-01  2.6897917E+00
  5.1331004E-01  2.6985673E+00
  5.1491109E-01  2.7073370E+00
  5.1650083E-01  2.7161008E+00
  5.1807938E-01  2.7248587E+00
  5.1964686E-01  2.7336106E+00
  5.2120338E-01  2.7423567E+00
  5.2274907E-01  2.7510969E+00
  5.2428403E-01  2.7598312E+00
  5.2580838E-01  2.7685596E+00
  5.2732223E-01  2.7772821E+00
  5.2882568E-01  2.7859988E+00
  5.3031885E-01  2.7947096E+00
  5.3180184E-01  2.8034146E+00
  5.3327474E-01  2.8121137E+00
  5.3473768E-01  2.8208070E+00
  5.3619075E-01  2.8294944E+00
  5.3763404E-01  2.8381760E+00
  5.3906766E-01  2.8468518E+00
  5.4049171E-01  2.8555218E+00
  5.4190627E-01  2.8641860E+00
  5.4331146E-01  2.8728443E+00
  5.4470735E-01  2.8814969E+00
  5.4609405E-01  2.8901436E+00
  5.4747164E-01  2.8987846E+00
  5.4884022E-01  2.9074198E+00
  5.5019986E-01  2.9160492E+00
  5.5155067E-01  2.9246728E+00
  5.5289273E-01  2.9332907E+00
  5.5422612E-01  2.9419028E+00
  5.5555092E-01  2.9505091E+00
  5.5686722E-01  2.9591097E+00
  5.5817511E-01  2.9677046E+00
  5.5947466E-01  2.9762937E+00
  5.6076596E-01  2.9848772E+00
  5.6204907E-01  2.9934548E+00
  5.6332409E-01  3.0020268E+00
  5.6459108E-01  3.0105930E+00
  5.6585013E-01  3.0191536E+00
  5.6710131E-01  3.0277084E+00
  5.6834469E-01  3.0362576E+00
  5.6958034E-01  3.0448010E+00
  5.7080835E-01  3.0533388E+00
  5.7202877E-01  3.0618709E+00
  5.7324169E-01  3.0703973E+00
  5.7444716E-01  3.0789181E+00
  5.7564526E-01  3.0874332E+00
  5.7683607E-01  3.0959426E+00
  5.7801963E-01  3.1044464E+00
  5.7919603E-01  3.1129446E+00
  5.8036532E-01  3.1214371E+00
  5.8152757E-01  3.1299239E+00
  5.8268285E-01  3.1384052E+00
  5.8383121E-01  3.1468808E+00
  5.8497273E-01  3.1553509E+00
